#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
256,Pluto Projector,Rex Orange County,81,"bedroom pop, pop",Pop,Pony,2019-10-25,4:27,38,22,71,0,19,3,12,-11,80,F Major,7B,4,2022-02-11,4EWBhKf1fOFnyMtUzACXEc
257,A Letter To Elise,The Cure,58,"new wave, permanent wave, rock, uk post-punk",Rock,Wish,1992-01-01,5:12,53,59,19,0,80,3,20,-13,150,A Major,11B,4,2022-02-11,7mEGddVRDdESAibWOnbXoA
258,Friday I'm In Love,The Cure,77,"new wave, permanent wave, rock, uk post-punk",Rock,Wish,1992-01-01,3:35,53,76,0,0,51,3,36,-13,136,C Minor,5A,4,2022-02-11,4QlzkaRHtU8gAdwqjWmO8n
259,Everybody Wants To Rule The World,Tears For Fears,84,"new romantic, new wave, new wave pop, permanent wave, rock, soft rock, sophisti-pop, synthpop","Rock, Pop",Songs From The Big Chair (Super Deluxe Edition),1985-02-25,4:11,65,80,35,0,54,5,10,-12,112,G Major,9B,4,2022-02-11,4RvWPyQ5RL0ao9LPZeSouE
260,Let's Fall in Love for the Night,FINNEAS,76,"alt z, electropop, la indie, pop",Pop,Let’s Fall In Love For The Night,2018-10-19,3:10,74,41,80,0,37,10,17,-8,128,F Major,7B,4,2022-02-11,7kQkmyoHCEqwe7QwDbkSXM
261,Drunk on Halloween,Wallows,61,"indie pop, modern rock, pop","Rock, Pop",Drunk on Halloween,2018-10-12,3:57,63,63,23,0,77,2,9,-4,101,F#/G♭ Major,2B,4,2022-02-11,0z9dPcBhJvqO06QMaKelUE
262,Juice,Lizzo,77,"dance pop, escape room, minnesota hip hop, pop, trap queen","Pop, Hip Hop, R&B",Cuz I Love You,2019-04-19,3:15,77,89,1,0,84,10,40,-3,120,G Major,9B,4,2022-02-11,0k664IuFwVP557Gnx7RhIl
263,Brazil,Declan McKenna,74,"indie pop, modern alternative rock, modern rock, rock",Rock,What Do You Think About the Car?,2017-07-21,4:12,69,62,9,0,67,3,9,-5,121,E Major,12B,4,2022-02-11,4sNG6zQBmtq7M8aeeKJRMQ
264,I Was Made For Loving You,"Tori Kelly,Ed Sheeran",43,"dance pop, pop, post-teen pop, uk pop",Pop,Unbreakable Smile,2015-06-23,3:08,37,34,36,0,22,3,10,-12,106,D Major,10B,5,2022-02-11,4XbQLaWyFkXTwPK33kxWQJ
265,Burnin' Up,Jonas Brothers,0,"boy band, dance pop, pop, post-teen pop",Pop,A Little Bit Longer,2008-08-12,2:55,67,95,3,0,81,8,33,-3,114,D Major,10B,4,2022-02-11,72jGj8k9C7DIQesDYenUT3
266,TQM,"Little Jesus,Ximena Sariñana,Elsa y Elmar",0,"indie rock mexicano, latin alternative, latin rock, mexican indie, mexican rock, latin, latin pop, mexican pop, colombian indie, colombian pop, r&b en espanol","Latin, R&B",Río Salvaje,2016-06-17,5:19,58,39,1,1,24,3,33,-9,105,G Major,9B,3,2022-02-11,5jpzs443nFQHRJ6RmMW4uo
267,Vienna,Billy Joel,77,"classic rock, folk rock, mellow gold, piano rock, rock, singer-songwriter, soft rock","Rock, Pop, Folk/Acoustic",The Stranger (Legacy Edition),1977,3:34,53,50,66,0,31,3,8,-7,125,A#/B♭ Major,6B,4,2022-02-11,4U45aEWtQhrm8A5mxPaFZ7
268,One Day,Kodaline,0,"irish pop, modern rock, pop, pop rock","Pop, Rock",In A Perfect World (Deluxe),2013-06-14,4:15,48,75,8,0,32,3,11,-6,96,D#/E♭ Major,5B,4,2022-02-11,1nqJvzF8URpip2qbg8izYb
269,Moving On,Kodaline,62,"irish pop, modern rock, pop, pop rock","Pop, Rock",Coming Up for Air (Expanded Edition),2015-02-09,4:25,54,38,88,0,18,4,7,-11,81,G Major,9B,4,2022-02-11,3QFCL0dqEzXFIWlqWiVDJU
270,Canyon Moon,Harry Styles,73,pop,Pop,Fine Line,2019-12-13,3:09,60,62,33,0,70,3,12,-7,94,D Major,10B,4,2022-02-11,5IhzJOXNE7ki0IIJbZbnGq
271,Make You Mine,PUBLIC,80,indie rockism,Rock,Make You Mine,2019-08-09,3:52,61,80,1,0,64,3,15,-4,103,A Major,11B,4,2022-02-11,5iFwAOB2TFkPJk8sMlxP8g
272,Just Another Girl,The Killers,66,"alternative rock, dance rock, modern rock, permanent wave, rock",Rock,Direct Hits,2013-01-01,4:22,55,78,0,1,16,3,14,-5,137,C♯/D♭ Major,3B,4,2022-02-11,3aVyHFxRkf8lSjhWdJ68AW
273,Be Still,The Killers,56,"alternative rock, dance rock, modern rock, permanent wave, rock",Rock,Battle Born,2012-09-17,4:33,55,25,59,0,4,3,9,-9,144,D#/E♭ Major,5B,4,2022-02-11,1B5tiGNcOHERcXcBHiL6Xs
274,Crush Culture,Conan Gray,71,"bedroom pop, indie pop, pop","Pop, Rock",Sunset Season,2018-11-16,3:24,52,77,15,0,46,19,9,-5,180,C Major,8B,4,2022-02-11,2sHwSBNDZN2yjCtgwStYt1
275,This City,Sam Fischer,0,"alt z, australian pop, dance pop, pop, tropical house, uk pop","Pop, Dance/Electronic",This City,2018-01-17,3:14,60,38,73,0,52,4,8,-6,74,B Major,1B,4,2022-02-11,7kF3x1XJXGcgQWFemulw4q
276,Yellow Hearts,Ant Saunders,0,"chill r&b, pop","R&B, Pop",Yellow Hearts,2019-06-18,3:43,87,40,12,0,71,7,7,-11,129,G Major,9B,4,2022-02-11,20JtELGPfOAMq7FpUt8eSM
277,Barcelona,George Ezra,1,"folk-pop, modern rock, neo-singer-songwriter, pop, pop rock","Folk/Acoustic, Rock, Pop",Wanted on Voyage,2014-06-27,3:08,63,58,29,0,17,3,11,-9,94,F Major,7B,4,2022-02-11,1yJZwBqTyGTB7mz8nZyiel
278,1950,King Princess,76,"alt z, art pop, dance pop, electropop, indie pop, indie poptimism, nyc pop, pop","Pop, Rock",1950,2018-02-23,3:45,60,54,65,0,27,11,16,-7,72,E Major,12B,4,2022-02-11,0CZ8lquoTX2Dkg7Ak2inwA
279,Let It Go,James Bay,74,"modern rock, neo mellow, pop, pop rock","Rock, Folk/Acoustic, Pop",Chaos And The Calm,2014-12-15,4:20,55,31,82,0,25,3,11,-10,147,C♯/D♭ Major,3B,4,2022-02-11,13HVjjWUZFaWilh2QUJKsP
280,Dissolve,Absofacto,72,"indie psych-pop, shimmer psych","Rock, Pop",Thousand Peaces,2017-11-03,3:44,69,58,23,0,87,5,7,-11,85,F#/G♭ Minor,11A,4,2022-02-11,7pBrj5rt4SSxXwFKOyZfHR
281,Budapest,George Ezra,1,"folk-pop, modern rock, neo-singer-songwriter, pop, pop rock","Folk/Acoustic, Rock, Pop",Wanted on Voyage,2015-01-20,3:20,72,46,8,0,39,3,11,-8,128,F Major,7B,4,2022-02-11,7q0aQpiLv5tIsupcgQ3Ny4
282,Lo Que Construimos,Natalia Lafourcade,74,"latin alternative, latin pop, mexican pop, rock en espanol, veracruz indie",Latin,Hasta la Raíz (Edición Especial),2015-11-13,4:39,67,29,77,0,55,3,11,-10,128,C Major,8B,4,2022-02-11,5wWxUdgn2OugIOvLJOdreH
